"nombre_archivo","url_descarga","fecha_cargue"
"validacionTroncal20260701.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260701.zip","2026-07-03"
"validacionTroncal20260630.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260630.zip","2026-07-03"
"validacionTroncal20260629.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260629.zip","2026-07-03"
"validacionTroncal20260628.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260628.zip","2026-07-03"
"validacionTroncal20260627.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260627.zip","2026-07-03"
"validacionTroncal20260626.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260626.zip","2026-07-03"
"validacionTroncal20260625.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260625.zip","2026-07-03"
"validacionTroncal20260624.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260624.zip","2026-07-03"
"validacionTroncal20260623.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260623.zip","2026-07-03"
"validacionTroncal20260622.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260622.zip","2026-07-03"
"validacionTroncal20260621.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260621.zip","2026-07-03"
"validacionTroncal20260620.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260620.zip","2026-07-03"
"validacionTroncal20260619.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260619.zip","2026-07-03"
"validacionTroncal20260618.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260618.zip","2026-07-03"
"validacionTroncal20260617.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260617.zip","2026-07-03"
"validacionTroncal20260616.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260616.zip","2026-07-03"
"validacionTroncal20260615.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260615.zip","2026-07-03"
"validacionTroncal20260614.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260614.zip","2026-07-03"
"validacionTroncal20260613.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260613.zip","2026-07-03"
"validacionTroncal20260612.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260612.zip","2026-07-03"
"validacionTroncal20260611.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260611.zip","2026-07-03"
"validacionTroncal20260610.zip","https://storage.googleapis.com/validaciones_tmsa/ValidacionTroncal/validacionTroncal20260610.zip","2026-07-03"
