"route.id","alpha","aristas caidas"
"11875",1.85,290
"11875",1.9,42
"11875",1.95,309
"11875",2,27
"11875",2.05,27
"11875",2.1,27
"11875",2.15,27
"11875",2.2,21
"11875",2.25,20
"11875",2.3,20
"11875",2.35,21
"11875",2.4,21
"11875",2.45,17
"11875",2.5,23
"11875",2.55,23
"11875",2.6,23
"11875",2.65,21
"11875",2.7,17
"11875",2.75,17
"11875",2.8,17
"11875",2.85,17
"11875",2.9,10
"11875",2.95,4
"11875",3,4
"13009",0,562
"13009",0.05,564
"13009",0.1,570
"13009",0.15,565
"13009",0.2,560
"13009",0.25,559
"13009",0.3,557
"13009",0.35,554
"13009",0.4,553
"13009",0.45,551
"13009",0.5,547
"13009",0.55,543
"13009",0.6,541
"13009",0.65,539
"13009",0.7,539
"13009",0.75,538
"13009",0.8,529
"13009",0.85,528
"13009",0.9,526
"13009",0.95,521
"13009",1,437
"13009",1.05,426
"13009",1.1,391
"13009",1.15,394
"13009",1.2,391
"13009",1.25,404
"13009",1.3,365
"13009",1.35,350
"13009",1.4,348
"13009",1.45,332
"13009",1.5,345
"13009",1.55,56
"13009",1.6,52
"13009",1.65,6
"13009",1.7,6
"13009",1.75,5
"13009",1.8,2
"13009",1.85,2
"13009",1.9,2
"13009",1.95,2
"13009",2,2
"13009",2.05,2
"13009",2.1,2
"13009",2.15,2
"13009",2.2,2
"13009",2.25,2
"13009",2.3,2
"13009",2.35,0
"13009",2.4,0
"13009",2.45,0
"13009",2.5,0
"13009",2.55,0
"13009",2.6,0
"13009",2.65,0
"13009",2.7,0
"13009",2.75,0
"13009",2.8,0
"13009",2.85,0
"13009",2.9,0
"13009",2.95,0
"13009",3,0
"11913",0,557
"11913",0.05,560
"11913",0.1,581
"11913",0.15,576
"11913",0.2,575
"11913",0.25,572
"11913",0.3,569
"11913",0.35,564
"11913",0.4,560
"11913",0.45,558
"11913",0.5,558
"11913",0.55,554
"11913",0.6,551
"11913",0.65,550
"11913",0.7,546
"11913",0.75,546
"11913",0.8,542
"11913",0.85,540
"11913",0.9,546
"11913",0.95,538
"11913",1,441
"11913",1.05,428
"11913",1.1,369
"11913",1.15,349
"11913",1.2,349
"11913",1.25,353
"11913",1.3,348
"11913",1.35,320
"11913",1.4,344
"11913",1.45,322
"11913",1.5,331
"11913",1.55,292
"11913",1.6,328
"11913",1.65,324
"11913",1.7,312
"11913",1.75,310
"11913",1.8,318
"11913",1.85,325
"11913",1.9,297
"11913",1.95,296
"11913",2,293
"11913",2.05,288
"11913",2.1,302
"11913",2.15,237
"11913",2.2,254
"11913",2.25,28
"11913",2.3,28
"11913",2.35,28
